	en	ru	ru_tokens	en_tokens
90	"There's nothing funny about that."" "	Ничего чудного в этом нет. 	['Ничего', 'чудного', 'в', 'этом', 'нет']	"[""There's"", 'nothing', 'funny', 'about', 'that']"
91	"""And do you remember, the year before, Anne wanted to take the rocking-horse?"" said Dick, with a giggle. "	— А помните, как в позапрошлом году Энн хотела взять с собой свою лошадку-качалку? — продолжал Дик, хихикая. 	['—', 'А', 'помните', 'как', 'в', 'позапрошлом', 'году', 'Энн', 'хотела', 'взять', 'с', 'собой', 'свою', 'лошадку-качалку', '—', 'продолжал', 'Дик', 'хихикая']	['And', 'do', 'you', 'remember', 'the', 'year', 'before', 'Anne', 'wanted', 'to', 'take', 'the', 'rocking-horse', 'said', 'Dick', 'with', 'a', 'giggle']
92	Mother chimed in. 	Тут вмешалась мама: 	['Тут', 'вмешалась', 'мама']	['Mother', 'chimed', 'in']
93	"""You know, I remember a little boy called Dick who put aside two golliwogs, one teddy bear, three toy dogs, two toy cats and his old monkey to take down to Polseath one year,"" she said. "	— А я помню, как однажды маленький мальчик по имени Дик, собираясь в Полсит, приготовил для упаковки двух черномазых кукол-уродцев, медвежонка, трех игрушечных собак, двух кошек и старую обезьянку. 	['—', 'А', 'я', 'помню', 'как', 'однажды', 'маленький', 'мальчик', 'по', 'имени', 'Дик', 'собираясь', 'в', 'Полсит', 'приготовил', 'для', 'упаковки', 'двух', 'черномазых', 'кукол-уродцев', 'медвежонка', 'трех', 'игрушечных', 'собак', 'двух', 'кошек', 'и', 'старую', 'обезьянку']	['You', 'know', 'I', 'remember', 'a', 'little', 'boy', 'called', 'Dick', 'who', 'put', 'aside', 'two', 'golliwogs', 'one', 'teddy', 'bear', 'three', 'toy', 'dogs', 'two', 'toy', 'cats', 'and', 'his', 'old', 'monkey', 'to', 'take', 'down', 'to', 'Polseath', 'one', 'year', 'she', 'said']
94	Then it was Dick's turn to go red. 	Дик, покраснев, тут же переменил тему. 	['Дик', 'покраснев', 'тут', 'же', 'переменил', 'тему']	"['Then', 'it', 'was', ""Dick's"", 'turn', 'to', 'go', 'red']"
95	He changed the subject at once. 	— Папочка, а как мы поедем? 	['—', 'Папочка', 'а', 'как', 'мы', 'поедем']	['He', 'changed', 'the', 'subject', 'at', 'once']
96	"""Daddy, are we going by train or by car?"" he asked. "	Поездом или на машине? — спросил он. 	['Поездом', 'или', 'на', 'машине', '—', 'спросил', 'он']	['Daddy', 'are', 'we', 'going', 'by', 'train', 'or', 'by', 'car', 'he', 'asked']
97	"""By car,"" said Daddy. "	— На машине, — ответил папа. 	['—', 'На', 'машине', '—', 'ответил', 'папа']	['By', 'car', 'said', 'Daddy']
98	"""We can pile everything into the boot. "	— Уложим все в багажник. 	['—', 'Уложим', 'все', 'в', 'багажник']	['We', 'can', 'pile', 'everything', 'into', 'the', 'boot']
99	"Well— what about Tuesday?"" "	Как насчет вторника? 	['Как', 'насчет', 'вторника']	['Well—', 'what', 'about', 'Tuesday']
100	"""That would suit me well,"" said Mother. "	— Меня устраивает, — сказала мама. 	['—', 'Меня', 'устраивает', '—', 'сказала', 'мама']	['That', 'would', 'suit', 'me', 'well', 'said', 'Mother']
101	"""Then we could take the children down, come back, and do our own packing at leisure, and start off for Scotland on the Friday. "	— Отвезем ребят, вернемся домой и в пятницу отправимся в Шотландию. 	['—', 'Отвезем', 'ребят', 'вернемся', 'домой', 'и', 'в', 'пятницу', 'отправимся', 'в', 'Шотландию']	['Then', 'we', 'could', 'take', 'the', 'children', 'down', 'come', 'back', 'and', 'do', 'our', 'own', 'packing', 'at', 'leisure', 'and', 'start', 'off', 'for', 'Scotland', 'on', 'the', 'Friday']
102	"Yes— we'll arrange for Tuesday."" "	Хорошо, пусть будет вторник. 	['Хорошо', 'пусть', 'будет', 'вторник']	"['Yes—', ""we'll"", 'arrange', 'for', 'Tuesday']"
103	So Tuesday it was. 	Итак, отъезд был назначен на вторник. 	['Итак', 'отъезд', 'был', 'назначен', 'на', 'вторник']	['So', 'Tuesday', 'it', 'was']
104	The children counted the days eagerly, and Anne marked one off the calendar each night. 	Ребята нетерпеливо считали дни, а Энн каждый вечер зачеркивала в календаре прошедший день. 	['Ребята', 'нетерпеливо', 'считали', 'дни', 'а', 'Энн', 'каждый', 'вечер', 'зачеркивала', 'в', 'календаре', 'прошедший', 'день']	['The', 'children', 'counted', 'the', 'days', 'eagerly', 'and', 'Anne', 'marked', 'one', 'off', 'the', 'calendar', 'each', 'night']
105	The week seemed a very long time in going. 	Неделя показалась им очень длинной. 	['Неделя', 'показалась', 'им', 'очень', 'длинной']	['The', 'week', 'seemed', 'a', 'very', 'long', 'time', 'in', 'going']
106	But at last Tuesday did come. Dick and Julian, who shared a room, woke up at about the same moment, and stared out of the nearby window. 	Утром во вторник Дик и Джулиан, спавшие в одной комнате, проснулись почти одновременно и выглянули в ближайшее окно. 	['Утром', 'во', 'вторник', 'Дик', 'и', 'Джулиан', 'спавшие', 'в', 'одной', 'комнате', 'проснулись', 'почти', 'одновременно', 'и', 'выглянули', 'в', 'ближайшее', 'окно']	['But', 'at', 'last', 'Tuesday', 'did', 'come', 'Dick', 'and', 'Julian', 'who', 'shared', 'a', 'room', 'woke', 'up', 'at', 'about', 'the', 'same', 'moment', 'and', 'stared', 'out', 'of', 'the', 'nearby', 'window']
107	"""It's a lovely day, hurrah!"" cried Julian, leaping out of bed. "	— День чудесный, ура! — закричал Джулиан, соскакивая с кровати. 	['—', 'День', 'чудесный', 'ура', '—', 'закричал', 'Джулиан', 'соскакивая', 'с', 'кровати']	"[""It's"", 'a', 'lovely', 'day', 'hurrah', 'cried', 'Julian', 'leaping', 'out', 'of', 'bed']"
108	"""I don't know why, but it always seems very important that it should be sunny on the first day of a holiday. "	— Не знаю почему, но всегда хочется, чтобы в первый день каникул светило солнце. 	['—', 'Не', 'знаю', 'почему', 'но', 'всегда', 'хочется', 'чтобы', 'в', 'первый', 'день', 'каникул', 'светило', 'солнце']	"['I', ""don't"", 'know', 'why', 'but', 'it', 'always', 'seems', 'very', 'important', 'that', 'it', 'should', 'be', 'sunny', 'on', 'the', 'first', 'day', 'of', 'a', 'holiday']"
109	"Let's wake Anne."" "	Давай разбудим Энн. 	['Давай', 'разбудим', 'Энн']	"[""Let's"", 'wake', 'Anne']"
110	Anne slept in the next room. 	Энн спала в соседней комнате. 	['Энн', 'спала', 'в', 'соседней', 'комнате']	['Anne', 'slept', 'in', 'the', 'next', 'room']
111	Julian ran in and shook her. 	Джулиан вбежал туда и потряс Энн за плечи. 	['Джулиан', 'вбежал', 'туда', 'и', 'потряс', 'Энн', 'за', 'плечи']	['Julian', 'ran', 'in', 'and', 'shook', 'her']
112	"""Wake up! "	— Проснись! — закричал он. 	['—', 'Проснись', '—', 'закричал', 'он']	['Wake', 'up']
113	"It's Tuesday! And the sun's shining."" "	— Сегодня вторник и светит солнце. 	['—', 'Сегодня', 'вторник', 'и', 'светит', 'солнце']	"[""It's"", 'Tuesday', 'And', 'the', ""sun's"", 'shining']"
114	Anne woke up with a jump and stared at Julian joyfully. 	Энн вскочила и радостно уставилась на Джулиана. 	['Энн', 'вскочила', 'и', 'радостно', 'уставилась', 'на', 'Джулиана']	['Anne', 'woke', 'up', 'with', 'a', 'jump', 'and', 'stared', 'at', 'Julian', 'joyfully']
115	"""It's come at last!"" she said. "	— Наконец-то! — воскликнула она. 	['—', 'Наконец-то', '—', 'воскликнула', 'она']	"[""It's"", 'come', 'at', 'last', 'she', 'said']"
116	"""I thought it never would. "	— Я думала, этот день никогда не наступит. 	['—', 'Я', 'думала', 'этот', 'день', 'никогда', 'не', 'наступит']	['I', 'thought', 'it', 'never', 'would']
117	"Oh, isn't it an exciting feeling to go away for a holiday!"" "	Как интересно уезжать куда-то на каникулы! 	['Как', 'интересно', 'уезжать', 'куда-то', 'на', 'каникулы']	"['Oh', ""isn't"", 'it', 'an', 'exciting', 'feeling', 'to', 'go', 'away', 'for', 'a', 'holiday']"
118	They started soon after breakfast. 	Вскоре после завтрака они отправились в путь. 	['Вскоре', 'после', 'завтрака', 'они', 'отправились', 'в', 'путь']	['They', 'started', 'soon', 'after', 'breakfast']
119	Their car was a big one, so it held them all very comfortably. 	У них была большая машина, так что разместились все очень свободно. 	['У', 'них', 'была', 'большая', 'машина', 'так', 'что', 'разместились', 'все', 'очень', 'свободно']	['Their', 'car', 'was', 'a', 'big', 'one', 'so', 'it', 'held', 'them', 'all', 'very', 'comfortably']
120	Mother sat in front with Daddy, and the three children sat behind, their feet on two suitcases. 	Мама — на переднем сиденье вместе с папой, а трое ребят сзади, поставив ноги на два чемодана. 	['Мама', '—', 'на', 'переднем', 'сиденье', 'вместе', 'с', 'папой', 'а', 'трое', 'ребят', 'сзади', 'поставив', 'ноги', 'на', 'два', 'чемодана']	['Mother', 'sat', 'in', 'front', 'with', 'Daddy', 'and', 'the', 'three', 'children', 'sat', 'behind', 'their', 'feet', 'on', 'two', 'suitcases']
121	In the luggage-place at the back of the car were all kinds of odds and ends, and one small trunk. 	В багажнике в задней части машины находилось все остальное. 	['В', 'багажнике', 'в', 'задней', 'части', 'машины', 'находилось', 'все', 'остальное']	['In', 'the', 'luggage-place', 'at', 'the', 'back', 'of', 'the', 'car', 'were', 'all', 'kinds', 'of', 'odds', 'and', 'ends', 'and', 'one', 'small', 'trunk']
122	Mother really thought they had remembered everything. 	Мама была уверена, что они ничего не забыли. 	['Мама', 'была', 'уверена', 'что', 'они', 'ничего', 'не', 'забыли']	['Mother', 'really', 'thought', 'they', 'had', 'remembered', 'everything']
123	Along the crowded London roads they went, slowly at first, and then, as they left the town behind, more quickly. 	Они ехали по оживленным улицам Лондона, сначала медленно, а потом, когда город остался позади, прибавили скорость. 	['Они', 'ехали', 'по', 'оживленным', 'улицам', 'Лондона', 'сначала', 'медленно', 'а', 'потом', 'когда', 'город', 'остался', 'позади', 'прибавили', 'скорость']	['Along', 'the', 'crowded', 'London', 'roads', 'they', 'went', 'slowly', 'at', 'first', 'and', 'then', 'as', 'they', 'left', 'the', 'town', 'behind', 'more', 'quickly']
124	Soon they were right into the open country, and the car sped along fast. 	Вскоре они оказались на свободном шоссе, и машина быстро побежала вперед. 	['Вскоре', 'они', 'оказались', 'на', 'свободном', 'шоссе', 'и', 'машина', 'быстро', 'побежала', 'вперед']	['Soon', 'they', 'were', 'right', 'into', 'the', 'open', 'country', 'and', 'the', 'car', 'sped', 'along', 'fast']
125	The children sang songs to themselves, as they always did when they were happy. 	Ребята распевали песенки и чувствовали себя счастливыми. 	['Ребята', 'распевали', 'песенки', 'и', 'чувствовали', 'себя', 'счастливыми']	['The', 'children', 'sang', 'songs', 'to', 'themselves', 'as', 'they', 'always', 'did', 'when', 'they', 'were', 'happy']
126	"""Are we picnicking soon?"" asked Anne, feeling hungry all of a sudden. "	— А есть мы будем скоро? — спросила проголодавшаяся вдруг Энн. 	['—', 'А', 'есть', 'мы', 'будем', 'скоро', '—', 'спросила', 'проголодавшаяся', 'вдруг', 'Энн']	['Are', 'we', 'picnicking', 'soon', 'asked', 'Anne', 'feeling', 'hungry', 'all', 'of', 'a', 'sudden']
127	"""Yes,"" said Mother. ""But not yet. It's only eleven o'clock. "	— Скоро, но сейчас ведь только одиннадцать. 	['—', 'Скоро', 'но', 'сейчас', 'ведь', 'только', 'одиннадцать']	"['Yes', 'said', 'Mother', 'But', 'not', 'yet', ""It's"", 'only', 'eleven', ""o'clock""]"
128	"We shan't have lunch till at least half-past twelve, Anne."" "	Второй завтрак будет не раньше половины первого, Энн. 	['Второй', 'завтрак', 'будет', 'не', 'раньше', 'половины', 'первого', 'Энн']	"['We', ""shan't"", 'have', 'lunch', 'till', 'at', 'least', 'half-past', 'twelve', 'Anne']"
129	"""Oh, gracious!"" said Anne. "	— Как жалко! — воскликнула Энн. 	['—', 'Как', 'жалко', '—', 'воскликнула', 'Энн']	['Oh', 'gracious', 'said', 'Anne']
130	"""I know I can't last out till then!"" "	— Я не дотяну до второго завтрака. 	['—', 'Я', 'не', 'дотяну', 'до', 'второго', 'завтрака']	"['I', 'know', 'I', ""can't"", 'last', 'out', 'till', 'then']"
131	So her mother handed her some chocolate, and she and the boys munched happily, watching the hills, woods and fields as the car sped by. 	Тогда мама дала им шоколад, и ребята с удовольствием его жевали, рассматривая холмы, леса и поля, мимо которых мчалась машина. 	['Тогда', 'мама', 'дала', 'им', 'шоколад', 'и', 'ребята', 'с', 'удовольствием', 'его', 'жевали', 'рассматривая', 'холмы', 'леса', 'и', 'поля', 'мимо', 'которых', 'мчалась', 'машина']	['So', 'her', 'mother', 'handed', 'her', 'some', 'chocolate', 'and', 'she', 'and', 'the', 'boys', 'munched', 'happily', 'watching', 'the', 'hills', 'woods', 'and', 'fields', 'as', 'the', 'car', 'sped', 'by']
132	The picnic was lovely. 	Завтрак на природе был чудесным. 	['Завтрак', 'на', 'природе', 'был', 'чудесным']	['The', 'picnic', 'was', 'lovely']
133	They had it on the top of a hill, in a sloping field that looked down into a sunny valley. 	Они устроились высоко на склоне холма, откуда открывался вид на солнечную долину. 	['Они', 'устроились', 'высоко', 'на', 'склоне', 'холма', 'откуда', 'открывался', 'вид', 'на', 'солнечную', 'долину']	['They', 'had', 'it', 'on', 'the', 'top', 'of', 'a', 'hill', 'in', 'a', 'sloping', 'field', 'that', 'looked', 'down', 'into', 'a', 'sunny', 'valley']
134	Anne didn't very much like a big brown cow who came up close and stared at her, but it went away when Daddy told it to. 	Энн слегка испугалась большой бурой коровы, которая подошла близко и уставилась на нее, но папа прогнал корову. 	['Энн', 'слегка', 'испугалась', 'большой', 'бурой', 'коровы', 'которая', 'подошла', 'близко', 'и', 'уставилась', 'на', 'нее', 'но', 'папа', 'прогнал', 'корову']	"['Anne', ""didn't"", 'very', 'much', 'like', 'a', 'big', 'brown', 'cow', 'who', 'came', 'up', 'close', 'and', 'stared', 'at', 'her', 'but', 'it', 'went', 'away', 'when', 'Daddy', 'told', 'it', 'to']"
135	The children ate enormously, and Mother said that instead of having a tea-picnic at half-past four they would have to go to a tea-house somewhere, because they had eaten all the tea sandwiches as well as the lunch ones! 	Ребята ели с большим аппетитом, и мама сказала, что вместо того, чтобы останавливаться для вечернего чаепития на природе, лучше заехать в какую-нибудь чайную, потому что они съели все бутерброды, приготовленные на день. 	['Ребята', 'ели', 'с', 'большим', 'аппетитом', 'и', 'мама', 'сказала', 'что', 'вместо', 'того', 'чтобы', 'останавливаться', 'для', 'вечернего', 'чаепития', 'на', 'природе', 'лучше', 'заехать', 'в', 'какую-нибудь', 'чайную', 'потому', 'что', 'они', 'съели', 'все', 'бутерброды', 'приготовленные', 'на', 'день']	['The', 'children', 'ate', 'enormously', 'and', 'Mother', 'said', 'that', 'instead', 'of', 'having', 'a', 'tea-picnic', 'at', 'half-past', 'four', 'they', 'would', 'have', 'to', 'go', 'to', 'a', 'tea-house', 'somewhere', 'because', 'they', 'had', 'eaten', 'all', 'the', 'tea', 'sandwiches', 'as', 'well', 'as', 'the', 'lunch', 'ones']
136	"""What time shall we be at Aunt Fanny's?"" asked Julian, finishing up the very last sandwich and wishing there were more. "	— В котором часу мы приедем к тете Фанни? — спросил Джулиан, дожевывая самый последний бутерброд. Он не отказался бы еще от одного. 	['—', 'В', 'котором', 'часу', 'мы', 'приедем', 'к', 'тете', 'Фанни', '—', 'спросил', 'Джулиан', 'дожевывая', 'самый', 'последний', 'бутерброд', 'Он', 'не', 'отказался', 'бы', 'еще', 'от', 'одного']	"['What', 'time', 'shall', 'we', 'be', 'at', 'Aunt', ""Fanny's"", 'asked', 'Julian', 'finishing', 'up', 'the', 'very', 'last', 'sandwich', 'and', 'wishing', 'there', 'were', 'more']"
137	"""About six o'clock with luck,"" said Daddy. "	— Если повезет, то часов в шесть, — ответил папа. 	['—', 'Если', 'повезет', 'то', 'часов', 'в', 'шесть', '—', 'ответил', 'папа']	"['About', 'six', ""o'clock"", 'with', 'luck', 'said', 'Daddy']"
138	"""Now who wants to stretch their legs a bit? "	— А теперь кто хочет немного размяться? 	['—', 'А', 'теперь', 'кто', 'хочет', 'немного', 'размяться']	['Now', 'who', 'wants', 'to', 'stretch', 'their', 'legs', 'a', 'bit']
139	"We've another long spell in the car, you know."" "	Нам придется еще долго ехать. 	['Нам', 'придется', 'еще', 'долго', 'ехать']	"[""We've"", 'another', 'long', 'spell', 'in', 'the', 'car', 'you', 'know']"
140	The car seemed to eat up the miles as it purred along. 	Казалось, что машина заглатывает милю за милей, мчась вперед. 	['Казалось', 'что', 'машина', 'заглатывает', 'милю', 'за', 'милей', 'мчась', 'вперед']	['The', 'car', 'seemed', 'to', 'eat', 'up', 'the', 'miles', 'as', 'it', 'purred', 'along']
141	Tea-time came, and then the three children began to feel excited all over again. 	Наступило время чая, и трое ребят опять заволновались. 	['Наступило', 'время', 'чая', 'и', 'трое', 'ребят', 'опять', 'заволновались']	['Tea-time', 'came', 'and', 'then', 'the', 'three', 'children', 'began', 'to', 'feel', 'excited', 'all', 'over', 'again']
142	"""We must watch out for the sea,"" said Dick. "	— Где-то поблизости море, — сказал Дик. 	['—', 'Где-то', 'поблизости', 'море', '—', 'сказал', 'Дик']	['We', 'must', 'watch', 'out', 'for', 'the', 'sea', 'said', 'Dick']
143	"""I can smell it somewhere near!"" "	— Я чувствую его запах. 	['—', 'Я', 'чувствую', 'его', 'запах']	['I', 'can', 'smell', 'it', 'somewhere', 'near']
144	He was right. 	Он оказался прав. 	['Он', 'оказался', 'прав']	['He', 'was', 'right']
145	The car suddenly topped a hill— and there, was the shining blue sea, calm and smooth in the evening sun. 	С вершины холма перед ними открылось море, сверкающее синевой в лучах солнца, спокойное и гладкое. 	['С', 'вершины', 'холма', 'перед', 'ними', 'открылось', 'море', 'сверкающее', 'синевой', 'в', 'лучах', 'солнца', 'спокойное', 'и', 'гладкое']	['The', 'car', 'suddenly', 'topped', 'a', 'hill—', 'and', 'there', 'was', 'the', 'shining', 'blue', 'sea', 'calm', 'and', 'smooth', 'in', 'the', 'evening', 'sun']
146	The three children gave a yell. 	Ребята радостно закричали: 	['Ребята', 'радостно', 'закричали']	['The', 'three', 'children', 'gave', 'a', 'yell']
147	"""There it is!"" "	— Вот оно! 	['—', 'Вот', 'оно']	['There', 'it', 'is']
148	"""Isn't it marvellous!"" "	— Правда, здорово? 	['—', 'Правда', 'здорово']	"[""Isn't"", 'it', 'marvellous']"
149	"""Oh, I want to bathe this very minute!"" "	— Как хочется искупаться! 	['—', 'Как', 'хочется', 'искупаться']	['Oh', 'I', 'want', 'to', 'bathe', 'this', 'very', 'minute']
150	"""We shan't be more than twenty minutes now, before we're at Kirrin Bay,"" said Daddy. "	— До залива Киррин нам осталось ехать не больше двадцати минут, — сказал папа. 	['—', 'До', 'залива', 'Киррин', 'нам', 'осталось', 'ехать', 'не', 'больше', 'двадцати', 'минут', '—', 'сказал', 'папа']	"['We', ""shan't"", 'be', 'more', 'than', 'twenty', 'minutes', 'now', 'before', ""we're"", 'at', 'Kirrin', 'Bay', 'said', 'Daddy']"
151	"""We've made good time. "	— Мы хорошо прокатились. 	['—', 'Мы', 'хорошо', 'прокатились']	"[""We've"", 'made', 'good', 'time']"
152	"You'll see the bay soon— it's quite a big one— with a funny sort of island at the entrance of the bay."" "	Скоро вы увидите залив, он большой, и при входе в него расположен забавный островок. 	['Скоро', 'вы', 'увидите', 'залив', 'он', 'большой', 'и', 'при', 'входе', 'в', 'него', 'расположен', 'забавный', 'островок']	"[""You'll"", 'see', 'the', 'bay', 'soon—', ""it's"", 'quite', 'a', 'big', 'one—', 'with', 'a', 'funny', 'sort', 'of', 'island', 'at', 'the', 'entrance', 'of', 'the', 'bay']"
153	The children looked out for it as they drove along the coast. 	Пока они ехали вдоль берега, ребята искали глазами этот залив. 	['Пока', 'они', 'ехали', 'вдоль', 'берега', 'ребята', 'искали', 'глазами', 'этот', 'залив']	['The', 'children', 'looked', 'out', 'for', 'it', 'as', 'they', 'drove', 'along', 'the', 'coast']
154	Then Julian gave a shout. 	И вот Джулиан закричал: 	['И', 'вот', 'Джулиан', 'закричал']	['Then', 'Julian', 'gave', 'a', 'shout']
155	"""There it is— that must be Kirrin Bay. "	— Залив Киррин! 	['—', 'Залив', 'Киррин']	['There', 'it', 'is—', 'that', 'must', 'be', 'Kirrin', 'Bay']
156	"Look, Dick— isn't it lovely and blue?"" "	Посмотри, Дик, какой он красивый и голубой. 	['Посмотри', 'Дик', 'какой', 'он', 'красивый', 'и', 'голубой']	"['Look', 'Dick—', ""isn't"", 'it', 'lovely', 'and', 'blue']"
157	"""And look at the rocky little island guarding the entrance of the bay,"" said Dick. "	— А ты видишь маленький скалистый островок перед входом в залив? — спросил Дик. 	['—', 'А', 'ты', 'видишь', 'маленький', 'скалистый', 'островок', 'перед', 'входом', 'в', 'залив', '—', 'спросил', 'Дик']	['And', 'look', 'at', 'the', 'rocky', 'little', 'island', 'guarding', 'the', 'entrance', 'of', 'the', 'bay', 'said', 'Dick']
158	"""I'd like to visit that."" "	— Вот бы на нем побывать! 	['—', 'Вот', 'бы', 'на', 'нем', 'побывать']	"[""I'd"", 'like', 'to', 'visit', 'that']"
159	"""Well, I've no doubt you will,"" said Mother. "	— Конечно, побываешь, — заверила мама. 	['—', 'Конечно', 'побываешь', '—', 'заверила', 'мама']	"['Well', ""I've"", 'no', 'doubt', 'you', 'will', 'said', 'Mother']"
160	"""Now, let's look out for Aunt Fanny's house. "	— А теперь поищем дом тети Фанни. 	['—', 'А', 'теперь', 'поищем', 'дом', 'тети', 'Фанни']	"['Now', ""let's"", 'look', 'out', 'for', 'Aunt', ""Fanny's"", 'house']"
161	"It's called Kirrin Cottage."" "	Его называют Киррин-коттедж. 	['Его', 'называют', 'Киррин-коттедж']	"[""It's"", 'called', 'Kirrin', 'Cottage']"
162	They soon came to it. 	Вскоре они подъехали к дому. 	['Вскоре', 'они', 'подъехали', 'к', 'дому']	['They', 'soon', 'came', 'to', 'it']
163	It stood on the low cliff overlooking the bay, and was a very old house indeed. 	Он стоял на скале фасадом к заливу. 	['Он', 'стоял', 'на', 'скале', 'фасадом', 'к', 'заливу']	['It', 'stood', 'on', 'the', 'low', 'cliff', 'overlooking', 'the', 'bay', 'and', 'was', 'a', 'very', 'old', 'house', 'indeed']
164	It wasn't really a cottage, but quite a big house, built of old white stone. 	Это был очень старый, довольно большой дом, построенный из белого камня. 	['Это', 'был', 'очень', 'старый', 'довольно', 'большой', 'дом', 'построенный', 'из', 'белого', 'камня']	"['It', ""wasn't"", 'really', 'a', 'cottage', 'but', 'quite', 'a', 'big', 'house', 'built', 'of', 'old', 'white', 'stone']"
165	Roses climbed over the front of it, and the garden was gay with flowers. 	По его фасаду вились розы, в саду росло множество ярких цветов. 	['По', 'его', 'фасаду', 'вились', 'розы', 'в', 'саду', 'росло', 'множество', 'ярких', 'цветов']	['Roses', 'climbed', 'over', 'the', 'front', 'of', 'it', 'and', 'the', 'garden', 'was', 'gay', 'with', 'flowers']
166	"""Here's Kirrin Cottage,"" said Daddy, and he stopped the car in front of it. "	— Киррин-коттедж, — объявил папа, остановив машину перед ним. 	['—', 'Киррин-коттедж', '—', 'объявил', 'папа', 'остановив', 'машину', 'перед', 'ним']	"[""Here's"", 'Kirrin', 'Cottage', 'said', 'Daddy', 'and', 'he', 'stopped', 'the', 'car', 'in', 'front', 'of', 'it']"
167	"""It's supposed to be about three hundred years old! "	— Считается, что ему около трехсот лет. 	['—', 'Считается', 'что', 'ему', 'около', 'трехсот', 'лет']	"[""It's"", 'supposed', 'to', 'be', 'about', 'three', 'hundred', 'years', 'old']"
168	Now— where's Quentin? 	Где же Квентин? 	['Где', 'же', 'Квентин']	"['Now—', ""where's"", 'Quentin']"
