	en	ru
174	He found a weed that tasted sour and he ate all he could find of it, which was not much, for it was a creeping growth, easily hidden under the several inches of snow. 	Дальше ему попалась какая-то кислая на вкус травка,  и  он  съел,  сколько нашел, но этого было очень мало, потому что травка стлалась по земле и  ее нелегко было найти под снегом. 
175	He had no fire that night, nor hot water, and crawled under his blanket to sleep the broken hunger-sleep. 	В ту ночь у него не было ни костра, ни горячей воды, и он  залез  под одеяло и уснул тревожным от  голода  сном. 
176	The snow turned into a cold rain. 	Снег  превратился  в  холодный дождь. 
177	He awakened many times to feel it falling on his upturned face. 	Он то и дело  просыпался,  чувствуя,  что  дождь  мочит  ему  лицо. 
178	Day came—a gray day and no sun. 	Наступил день - серый день без  солнца. 
179	It had ceased raining. 	Дождь  перестал. 
180	The keenness of his hunger had departed. Sensibility, as far as concerned the yearning for food, had been exhausted. 	Теперь  чувство голода у путника притупилось. 
181	There was a dull, heavy ache in his stomach, but it did not bother him so much. 	Осталась тупая, ноющая боль  в  желудке,  но это его не очень мучило. 
182	He was more rational, and once more he was chiefly interested in the land of little sticks and the cache by the river Dease. 	Мысли у него прояснились,  и  он  опять  думал  о Стране Маленьких Палок и о своем тайнике у реки Дез. 
183	He ripped the remnant of one of his blankets into strips and bound his bleeding feet. Also, he recinched the injured ankle and prepared himself for a day of travel. 	Он разорвал остаток одного одеяла на  полосы  и  обмотал  стертые  до крови ноги,  потом  перевязал  больную  ногу  и  приготовился  к  дневному переходу. 
184	When he came to his pack, he paused long over the squat moose-hide sack, but in the end it went with him. 	Когда дело дошло до тюка, он долго глядел на мешочек из  оленьей кожи, но в конце концов захватил и его. 
185	The snow had melted under the rain, and only the hilltops showed white. 	Дождь растопил снег, и  только  верхушки  холмов  оставались  белыми. 
186	The sun came out, and he succeeded in locating the points of the compass, though he knew now that he was lost. 	Проглянуло солнце, и путнику удалось определить страны света, хотя  теперь он знал, что сбился с пути. 
187	Perhaps, in his previous days’ wanderings, he had edged away too far to the left. 	Должно быть, блуждая в эти последние  дни,  он отклонился слишком далеко влево. 
188	He now bore off to the right to counteract the possible deviation from his true course. 	Теперь он свернул вправо, чтобы выйти  на правильный путь. 
189	Though the hunger pangs were no longer so exquisite, he realized that he was weak. 	Муки голода  уже  притупились,  но  он  чувствовал,  что  ослаб. 
190	He was compelled to pause for frequent rests, when he attacked the muskeg berries and rush-grass patches. 	Ему приходилось часто останавливаться и отдыхать,  собирая  болотные  ягоды  и луковицы камыша. 
191	His tongue felt dry and large, as though covered with a fine hairy growth, and it tasted bitter in his mouth. 	Язык у него распух, стал сухим, словно ершистым, и во рту был горький вкус. 
192	His heart gave him a great deal of trouble. 	А больше всего его  донимало  сердце. 
193	When he had travelled a few minutes it would begin a remorseless thump, thump, thump, and then leap up and away in a painful flutter of beats that choked him and made him go faint and dizzy. 	После  нескольких минут пути оно начинало безжалостно стучать, а потом словно подскакивало и мучительно трепетало, доводя его до удушья и головокружения,  чуть  не  до обморока. 
194	In the middle of the day he found two minnows in a large pool. 	Около полудня он увидел двух пескарей в большой луже. 
195	It was impossible to bale it, but he was calmer now and managed to catch them in his tin bucket. 	Вычерпать  воду было немыслимо, но  теперь  он  стал  спокойнее  и  ухитрился  поймать  их жестяным ведерком. 
196	They were no longer than his little finger, but he was not particularly hungry. 	Они были  с  мизинец  длиной,  не  больше,  но  ему  не особенно хотелось есть. 
197	The dull ache in his stomach had been growing duller and fainter. It seemed almost that his stomach was dozing. 	Боль в желудке все слабела, становилась все  менее острой, как будто желудок дремал. 
198	He ate the fish raw, masticating with painstaking care, for the eating was an act of pure reason. 	Он съел  рыбок  сырыми,  старательно  их разжевывая, и это было чисто рассудочным действием. 
199	While he had no desire to eat, he knew that he must eat to live. 	Есть ему не  хотелось, но он знал, что это нужно, чтобы остаться в живых. 
200	In the evening he caught three more minnows, eating two and saving the third for breakfast. 	Вечером он поймал еще трех пескарей, двух съел, а третьего оставил на завтрак. 
201	The sun had dried stray shreds of moss, and he was able to warm himself with hot water. 	Солнце высушило изредка попадавшиеся клочки мха, и  он  согрелся, вскипятив себе воды. 
202	He had not covered more than ten miles that day; and the next day, travelling whenever his heart permitted him, he covered no more than five miles. 	В этот день он прошел не больше  десяти  миль,  а  на следующий, двигаясь только когда позволяло сердце, - не  больше  пяти. 
203	But his stomach did not give him the slightest uneasiness. It had gone to sleep. 	Но боли в желудке уже не беспокоили его; желудок словно уснул. 
204	He was in a strange country, too, and the caribou were growing more plentiful, also the wolves. 	Местность была ему теперь незнакома, олени попадались все чаще и волки тоже. 
205	Often their yelps drifted across the desolation, and once he saw three of them slinking away before his path. 	Очень  часто их вой доносился до него из пустынной дали,  а  один  раз  он  видел  трех волков, которые, крадучись, перебегали дорогу. 
206	Another night; and in the morning, being more rational, he untied the leather string that fastened the squat moose-hide sack. 	Еще одна ночь, и наутро, образумившись наконец, он развязал  ремешок, стягивающий кожаный мешочек. 
207	From its open mouth poured a yellow stream of coarse gold-dust and nuggets. 	Из него  желтой  струйкой  посыпался  крупный золотой песок и самородки. 
208	He roughly divided the gold in halves, caching one half on a prominent ledge, wrapped in a piece of blanket, and returning the other half to the sack. 	Он  разделил  золото  пополам,  одну  половину спрятал на видном издалека выступе  скалы,  завернув  в  кусок  одеяла,  а другую всыпал обратно в мешок. 
209	He also began to use strips of the one remaining blanket for his feet. 	Свое последнее одеяло  он  тоже  пустил  на обмотки для ног. 
210	He still clung to his gun, for there were cartridges in that cache by the river Dease. 	Но ружье он все еще не бросал, потому  что  в  тайнике  у реки Диз лежали патроны. 
211	This was a day of fog, and this day hunger awoke in him again. 	День выдался туманный. В этот день  в  нем  снова  пробудился  голод. 
212	He was very weak and was afflicted with a giddiness which at times blinded him. 	Путник очень ослабел, и голова у него кружилась так, что  по  временам  он ничего не видел. 
213	It was no uncommon thing now for him to stumble and fall; and stumbling once, he fell squarely into a ptarmigan nest. 	Теперь  он  постоянно  спотыкался  и  падал,  и  однажды свалился  прямо  на  гнездо  куропатки. 
214	There were four newly hatched chicks, a day old—little specks of pulsating life no more than a mouthful; and he ate them ravenously, thrusting them alive into his mouth and crunching them like egg-shells between his teeth. 	Там  было  четверо   только   что вылупившихся птенца, не старше одного дня; каждого хватило  бы  только  на глоток; и он съел их с жадностью, запихивая в рот живыми: они  хрустели  у него на зубах, как яичная скорлупа. 
215	The mother ptarmigan beat about him with great outcry. 	Куропатка-мать с громким криком летала вокруг него. 
216	He used his gun as a club with which to knock her over, but she dodged out of reach. 	Он хотел подшибить ее прикладом  ружья,  но  она  увернулась. 
217	He threw stones at her and with one chance shot broke a wing. 	Тогда он стал  бросать  в  нее  камнями  и  перебил  ей  крыло. 
218	Then she fluttered away, running, trailing the broken wing, with him in pursuit. 	Куропатка бросилась от него прочь, вспархивая и волоча перебитое  крыло,  но  он  не отставал. 
219	The little chicks had no more than whetted his appetite. 	Птенцы только раздразнили его голод. 
220	He hopped and bobbed clumsily along on his injured ankle, throwing stones and screaming hoarsely at times; at other times hopping and bobbing silently along, picking himself up grimly and patiently when he fell, or rubbing his eyes with his hand when the giddiness threatened to overpower him. 	Неуклюже подскакивая и  припадая на больную ногу, он то бросал в куропатку камнями и хрипло вскрикивал,  то шел молча, угрюмо и терпеливо поднимаясь  после  каждого  падения,  и  тер рукой глаза, чтобы отогнать головокружение, грозившее обмороком. 
221	The chase led him across swampy ground in the bottom of the valley, and he came upon footprints in the soggy moss. 	Погоня за куропаткой привела  его  в  болотистую  низину,  и  там  он заметил человеческие следы на мокром мху. 
222	They were not his own—he could see that. 	Следы  были  не  его  -  это  он видел. 
223	They must be Bill’s. 	Должно быть, следы Билла. 
224	But he could not stop, for the mother ptarmigan was running on. 	Но он не  мог  остановиться,  потому  что белая куропатка убегала все дальше. 
225	He would catch her first, then he would return and investigate. 	Сначала он поймает  ее,  а  потом  уже вернется и рассмотрит следы. 
226	He exhausted the mother ptarmigan; but he exhausted himself. 	Он загнал куропатку, но и сам обессилел. 
227	She lay panting on her side. He lay panting on his side, a dozen feet away, unable to crawl to her. 	Она лежала на  боку,  тяжело дыша, и он, тоже тяжело дыша, лежал в десяти шагах  от  нее,  не  в  силах подползти ближе. 
228	And as he recovered she recovered, fluttering out of reach as his hungry hand went out to her. 	А когда он  отдохнул,  она  тоже  собралась  с  силами  и упорхнула от его жадно протянутой руки. 
229	The chase was resumed. 	Погоня  началась  снова. 
230	Night settled down and she escaped. 	Но  тут стемнело и птица скрылась. 
231	He stumbled from weakness and pitched head foremost on his face, cutting his cheek, his pack upon his back. 	Споткнувшись от усталости, он упал с  тюком  на спине и поранил себе щеку. 
232	He did not move for a long while; then he rolled over on his side, wound his watch, and lay there until morning. 	Он долго не двигался, потом повернулся на  бок, завел часы и пролежал так до утра. 
233	Another day of fog. 	Опять туман. 
234	Half of his last blanket had gone into foot-wrappings. 	Половину одеяла он израсходовал на обмотки. 
235	He failed to pick up Bill’s trail. It did not matter. 	Следы  Билла ему не удалось найти, но теперь это было неважно. 
236	His hunger was driving him too compellingly—only—only he wondered if Bill, too, were lost. 	Голод  упорно  гнал  его вперед. Но что, если... Билл тоже заблудился? 
237	By midday the irk of his pack became too oppressive. 	К полудню он совсем  выбился из сил. 
238	Again he divided the gold, this time merely spilling half of it on the ground. 	Он опять разделил золото, на этот раз просто высыпав  половину  на землю. 
239	In the afternoon he threw the rest of it away, there remaining to him only the half-blanket, the tin bucket, and the rifle. 	К вечеру он выбросил и другую половину, оставив себе только обрывок одеяла, жестяное ведерко и ружье. 
240	An hallucination began to trouble him. 	Его начали мучить навязчивые мысли. 
241	He felt confident that one cartridge remained to him. It was in the chamber of the rifle and he had overlooked it. 	Почему-то он был  уверен,  что  у него остался один патрон, - ружье заряжено, он просто этого не заметил. 
242	On the other hand, he knew all the time that the chamber was empty. 	И в то же время он знал, что в магазине нет  патрона. 
243	But the hallucination persisted. 	Эта  мысль  неотвязно преследовала его. 
244	He fought it off for hours, then threw his rifle open and was confronted with emptiness. 	Он боролся  с  ней  часами,  потом  осмотрел  магазин  и убедился, что никакого патрона в нем нет. 
245	The disappointment was as bitter as though he had really expected to find the cartridge. 	Разочарование было  так  сильно, словно он и в самом деле ожидал найти там патрон. 
246	He plodded on for half an hour, when the hallucination arose again. 	Прошло около получаса, потом навязчивая мысль вернулась к нему снова. 
247	Again he fought it, and still it persisted, till for very relief he opened his rifle to unconvince himself. 	Он боролся с ней и не мог побороть и, чтобы хоть чем-нибудь  помочь  себе, опять осмотрел ружье. 
248	At times his mind wandered farther afield, and he plodded on, a mere automaton, strange conceits and whimsicalities gnawing at his brain like worms. 	По временам рассудок его  мутился,  и  он  продолжал брести дальше  бессознательно,  как  автомат;  странные  мысли  и  нелепые представления точили  его  мозг,  как  черви. 
249	But these excursions out of the real were of brief duration, for ever the pangs of the hunger-bite called him back. 	Но  он  быстро  приходил  в сознание, - муки  голода  постоянно  возвращали  его  к  действительности. 
250	He was jerked back abruptly once from such an excursion by a sight that caused him nearly to faint. 	Однажды его привело в себя зрелище, от которого он тут же едва не упал без чувств. 
251	He reeled and swayed, doddering like a drunken man to keep from falling. 	Он покачнулся и зашатался,  как  пьяный,  стараясь  удержаться  на ногах. 
252	Before him stood a horse. 	Перед ним стояла лошадь. 
253	A horse! 	Лошадь! 
254	He could not believe his eyes. 	Он  не  верил  своим  глазам. 
255	A thick mist was in them, intershot with sparkling points of light. 	Их заволакивал густой  туман,  пронизанный  яркими  точками  света. 
256	He rubbed his eyes savagely to clear his vision, and beheld, not a horse, but a great brown bear. 	Он  стал яростно тереть глаза и, когда зрение прояснилось, увидел  перед  собой  не лошадь, а большого бурого медведя. 
257	The animal was studying him with bellicose curiosity. 	Зверь разглядывал его  с  недружелюбным любопытством. 
258	The man had brought his gun halfway to his shoulder before he realized. 	Он уже вскинул было ружье, но быстро  опомнился. 
259	He lowered it and drew his hunting-knife from its beaded sheath at his hip. 	Опустив  ружье,  он вытащил охотничий нож из шитых бисером ножен. 
260	Before him was meat and life. 	Перед  ним  было  мясо  и  - жизнь. 
261	He ran his thumb along the edge of his knife. 	Он провел большим пальцем по лезвию ножа. 
262	It was sharp. The point was sharp. 	Лезвие  было  острое,  и кончик тоже острый. 
263	He would fling himself upon the bear and kill it. 	Сейчас он бросится на медведя и убьет его. 
264	But his heart began its warning thump, thump, thump. Then followed the wild upward leap and tattoo of flutters, the pressing as of an iron band about his forehead, the creeping of the dizziness into his brain. 	Но  сердце заколотилось,  словно  предостерегая:  тук,  тук,  тук  -   потом   бешено подскочило кверху и  дробно  затрепетало;  лоб  сдавило,  словно  железным обручем, и в глазах потемнело. 
265	His desperate courage was evicted by a great surge of fear. 	Отчаянную храбрость смыло волной страха. 
266	In his weakness, what if the animal attacked him? 	Он так  слаб  -  что  будет, если медведь нападет на  него? 
267	He drew himself up to his most imposing stature, gripping the knife and staring hard at the bear. 	Он  выпрямился  во  весь  рост  как  можно внушительнее, выхватил нож  и  посмотрел  медведю  прямо  в  глаза. 
268	The bear advanced clumsily a couple of steps, reared up, and gave vent to a tentative growl. 	Зверь неуклюже шагнул вперед, поднялся  на  дыбы  и  зарычал. 
269	If the man ran, he would run after him; but the man did not run. 	Если  бы  человек бросился бежать, медведь погнался бы за ним. 
270	He was animated now with the courage of fear. He, too, growled, savagely, terribly, voicing the fear that is to life germane and that lies twisted about life’s deepest roots. 	Но  человек  не  двинулся  с места, осмелев от страха; он  тоже  зарычал,  свирепо,  как  дикий  зверь, выражая этим страх, который неразрывно связан с жизнью и тесно  сплетается с ее самыми глубокими корнями. 
271	The bear edged away to one side, growling menacingly, himself appalled by this mysterious creature that appeared upright and unafraid. 	Медведь отступил в сторону,  угрожающе  рыча,  в  испуге  перед  этим таинственным существом, которое стояло прямо и не боялось его. 
272	But the man did not move. 	Но  человек все не двигался. 
273	He stood like a statue till the danger was past, when he yielded to a fit of trembling and sank down into the wet moss. 	Он стоял как вкопанный, пока  опасность  не  миновала,  а потом, весь дрожа, повалился на мокрый мох. 
274	He pulled himself together and went on, afraid now in a new way. 	Собравшись с силами, он пошел дальше, терзаясь новым страхом. 
275	It was not the fear that he should die passively from lack of food, but that he should be destroyed violently before starvation had exhausted the last particle of the endeavor in him that made toward surviving. 	Это был уже не страх голодной смерти:  теперь  он  боялся  умереть  насильственной смертью, прежде чем последнее стремление сохранить жизнь заглохнет  в  нем от голода. 
276	There were the wolves. 	Кругом были волки. 
277	Back and forth across the desolation drifted their howls, weaving the very air into a fabric of menace that was so tangible that he found himself, arms in the air, pressing it back from him as it might be the walls of a wind-blown tent. 	Со всех сторон в этой пустыне  доносился  их вой, и самый воздух вокруг дышал угрозой так неотступно, что  он  невольно поднял руки, отстраняя эту  угрозу,  словно  полотнище  колеблемой  ветром палатки. 
278	Now and again the wolves, in packs of two and three, crossed his path. 	Волки по двое и по трое то и дело перебегали ему дорогу. 
279	But they sheered clear of him. 	Но  они  не подходили близко. 
280	They were not in sufficient numbers, and besides they were hunting the caribou, which did not battle, while this strange creature that walked erect might scratch and bite. 	Их было не так много; кроме того, они привыкли охотиться за оленями, которые не сопротивлялись им, а это странное  животное  ходило на двух ногах, и должно быть, царапалось и кусалось. 
281	In the late afternoon he came upon scattered bones where the wolves had made a kill. 	К вечеру он набрел на кости, разбросанные  там,  где  волки  настигли свою добычу. 
282	The debris had been a caribou calf an hour before, squawking and running and very much alive. 	Час тому назад это был  живой  олененок,  он  резво  бегал  и мычал. 
283	He contemplated the bones, clean-picked and polished, pink with the cell-life in them which had not yet died. 	Человек смотрел на кости, дочиста обглоданные, блестящие и розовые, оттого что в их клетках еще не угасла жизнь. 
284	Could it possibly be that he might be that ere the day was done! 	Может быть, к концу дня и  от него останется не больше? 
285	Such was life, eh? A vain and fleeting thing. 	Ведь такова жизнь,  суетная  и  скоропреходящая. 
286	It was only life that pained. 	Только жизнь заставляет страдать. 
287	There was no hurt in death. 	Умереть не  больно. 
288	To die was to sleep. 	Умереть  -  уснуть. 
289	It meant cessation, rest. 	Смерть - это значит конец, покой. 
290	Then why was he not content to die? 	Почему же тогда ему не хочется умирать? 
291	But he did not moralize long. 	Но он не долго рассуждал. 
292	He was squatting in the moss, a bone in his mouth, sucking at the shreds of life that still dyed it faintly pink. 	Вскоре он уже  сидел  на  корточках,  держа кость в зубах и высасывал из нее  последние  частицы  жизни,  которые  еще окрашивали ее в розовый цвет. 
293	The sweet meaty taste, thin and elusive almost as a memory, maddened him. 	Сладкий вкус мяса, еле слышный,  неуловимый, как воспоминание, доводил его до бешенства. 
294	He closed his jaws on the bones and crunched. 	Он стиснул зубы крепче и  стал грызть. 
295	Sometimes it was the bone that broke, sometimes his teeth. 	Иногда ломалась кость, иногда его  зубы. 
296	Then he crushed the bones between rocks, pounded them to a pulp, and swallowed them. 	Потом  он  стал  дробить кости камнем, размалывая их в кашу, и глотать  с  жадностью. 
297	He pounded his fingers, too, in his haste, and yet found a moment in which to feel surprise at the fact that his fingers did not hurt much when caught under the descending rock. 	Второпях  он попадал себе по пальцам, и все-таки, несмотря  на  спешку,  находил  время удивляться, почему он не чувствует боли от ударов. 
298	Came frightful days of snow and rain. 	Наступили страшные дни дождей  и  снега. 
299	He did not know when he made camp, when he broke camp. 	Он  уже  не  помнил,  когда останавливался на ночь и когда снова пускался в  путь. 
300	He travelled in the night as much as in the day. He rested wherever he fell, crawled on whenever the dying life in him flickered up and burned less dimly. 	Шел,  не  разбирая времени, и ночью и днем, отдыхал там, где падал, и тащился  вперед,  когда угасавшая в нем жизнь вспыхивала и разгоралась ярче. 
301	He, as a man, no longer strove. 	Он больше не боролся, как борются люди. 
302	It was the life in him, unwilling to die, that drove him on. 	Это сама жизнь в нем  не  хотела  гибнуть  и  гнала  его вперед. 
303	He did not suffer. 	Он не страдал больше. 
304	His nerves had become blunted, numb, while his mind was filled with weird visions and delicious dreams. 	Нервы его притупились, словно  оцепенели,  в мозгу теснились странные видения, радужные сны. 
305	But ever he sucked and chewed on the crushed bones of the caribou calf, the least remnants of which he had gathered up and carried with him. 	Он,  не  переставая,  сосал  и  жевал  раздробленные  кости,  которые подобрал до последней крошки и унес с собой. 
306	He crossed no more hills or divides, but automatically followed a large stream which flowed through a wide and shallow valley. He did not see this stream nor this valley. 	Больше он уже  не  поднимался на холмы, не пересекал водоразделов, а брел  по  отлогому  берегу  большой реки, которая текла по широкой  долине. 
307	He saw nothing save visions. 	Перед  его  глазами  были  только видения. 
308	Soul and body walked or crawled side by side, yet apart, so slender was the thread that bound them. 	Его душа и тело шли рядом и все же порознь - такой  тонкой  стала нить, связывающая их. 
309	He awoke in his right mind, lying on his back on a rocky ledge. 	Он пришел в сознание однажды  утром,  лежа  на  плоском  камне. 
310	The sun was shining bright and warm. 	Ярко светило и пригревало солнце. 
311	Afar off he heard the squawking of caribou calves. 	Издали ему слышно  было  мычание  оленят. 
312	He was aware of vague memories of rain and wind and snow, but whether he had been beaten by the storm for two days or two weeks he did not know. 	Он смутно помнил дождь, ветер и снег, но  сколько  времени  его  преследовала непогода - два дня или две недели, - он не знал. 
313	For some time he lay without movement, the genial sunshine pouring upon him and saturating his miserable body with its warmth. 	Долгое время он лежал неподвижно, и щедрое солнце лило на  него  свои лучи, напитывая теплом его жалкое тело. 
314	A fine day, he thought. 	"""Хороший день"", - подумал он. "
315	Perhaps he could manage to locate himself. 	Быть может, ему удастся определить направление по  солнцу. 
316	By a painful effort he rolled over on his side. 	Сделав  мучительное усилие, он повернулся на бок. 
317	Below him flowed a wide and sluggish river. 	Там,  внизу,  текла  широкая,  медлительная река. 
318	Its unfamiliarity puzzled him. 	Она была ему незнакома, и это его удивило. 
319	Slowly he followed it with his eyes, winding in wide sweeps among the bleak, bare hills, bleaker and barer and lower-lying than any hills he had yet encountered. 	Он медленно следил за  ее течением, смотрел, как она вьется среди голых, угрюмых холмов,  еще  более угрюмых и  низких,  чем  те,  которые  он  видел  до  сих  пор. 
320	Slowly, deliberately, without excitement or more than the most casual interest, he followed the course of the strange stream toward the sky-line and saw it emptying into a bright and shining sea. 	Медленно, равнодушно, без всякого интереса он проследил за течением незнакомой  реки почти до самого горизонта и увидел, что она вливается в светлое блистающее море. 
321	He was still unexcited. 	И все же это его не взволновало. 
322	Most unusual, he thought, a vision or a mirage—more likely a vision, a trick of his disordered mind. 	"""Очень странно, - подумал он, - это или мираж, или видение, плод  расстроенного  воображения"". "
323	He was confirmed in this by sight of a ship lying at anchor in the midst of the shining sea. 	Он  еще  более убедился  в  этом,  когда  увидел  корабль,  стоявший  на  якоре   посреди блистающего моря. 
324	He closed his eyes for a while, then opened them. 	Он закрыл глаза на секунду и снова открыл  их. 
325	Strange how the vision persisted! 	Странно, что видение не исчезает! 
326	Yet not strange. 	А впрочем, нет ничего странного. 
327	He knew there were no seas or ships in the heart of the barren lands, just as he had known there was no cartridge in the empty rifle. 	Он знал,  что  в сердце этой бесплодной земли нет ни моря, ни  кораблей,  так  же  как  нет патронов в его незаряженном ружье. 
328	He heard a snuffle behind him—a half-choking gasp or cough. 	Он услышал за своей спиной какое-то сопение -  не  то  вздох,  не  то кашель. 
329	Very slowly, because of his exceeding weakness and stiffness, he rolled over on his other side. 	Очень медленно, преодолевая  крайнюю  слабость  и  оцепенение,  он повернулся на другой бок. 
330	He could see nothing near at hand, but he waited patiently. 	Поблизости он ничего не увидел и стал  терпеливо ждать. 
331	Again came the snuffle and cough, and outlined between two jagged rocks not a score of feet away he made out the gray head of a wolf. 	Опять послышались сопение и  кашель,  и  между  двумя  островерхими камнями, не больше чем шагах в двадцати от себя, он  увидел  серую  голову волка. 
332	The sharp ears were not pricked so sharply as he had seen them on other wolves; the eyes were bleared and bloodshot, the head seemed to droop limply and forlornly. 	Уши не торчали кверху, как это  ему  приходилось  видеть  у  других волков, глаза помутнели и налились кровью,  голова  бессильно  понурилась. 
333	The animal blinked continually in the sunshine. It seemed sick. As he looked it snuffled and coughed again. 	Волк, верно, был болен: он все время чихал и кашлял. 
334	This, at least, was real, he thought, and turned on the other side so that he might see the reality of the world which had been veiled from him before by the vision. 	"""Вот это по крайней мере не кажется, - подумал он и опять  повернулся на другой бок, чтобы увидеть настоящий мир, не  застланный  теперь  дымкой видений. "
335	But the sea still shone in the distance and the ship was plainly discernible. 	Но море все так же сверкало  в  отдалении,  и  корабль  был  ясно виден. 
336	Was it reality, after all? 	Быть может, это все-таки настоящее? 
337	He closed his eyes for a long while and thought, and then it came to him. 	Он закрыл глаза и стал думать - и в конце концов понял, в чем дело. 
338	He had been making north by east, away from the Dease Divide and into the Coppermine Valley. 	Он шел на северо-восток,  удаляясь  от реки Диз, и попал в долину реки Коппермайн. 
339	This wide and sluggish river was the Coppermine. 	Эта широкая, медлительная река и была Коппермайн. 
340	That shining sea was the Arctic Ocean. 	Это блистающее море - Ледовитый океан. 
341	That ship was a whaler, strayed east, far east, from the mouth of the Mackenzie, and it was lying at anchor in Coronation Gulf. 	Этот  корабль  - китобойное судно, заплывшее далеко к востоку от устья реки  Маккензи,  оно стоит на якоре в заливе Коронации. 
342	He remembered the Hudson Bay Company chart he had seen long ago, and it was all clear and reasonable to him. 	Он вспомнил  карту  Компании  Гудзонова залива, которую видел когда-то, и все стало ясно и понятно. 
343	He sat up and turned his attention to immediate affairs. 	Он сел и начал думать о самых неотложных  делах. 
344	He had worn through the blanket-wrappings, and his feet were shapeless lumps of raw meat. 	Обмотки  из  одеяла совсем износились, и ноги у него были содраны до  живого  мяса. 
345	His last blanket was gone. 	Последнее одеяло было израсходовано. 
346	Rifle and knife were both missing. 	Ружье и нож он потерял. 
347	He had lost his hat somewhere, with the bunch of matches in the band, but the matches against his chest were safe and dry inside the tobacco pouch and oil paper. 	Шапка тоже пропала,  но спички в кисете за пазухой, завернутые в пергамент,  остались  целы  и  не отсырели. 
348	He looked at his watch. 	Он посмотрел на часы. 
349	It marked eleven o’clock and was still running. 	Они все еще шли и  показывали  одиннадцать часов. 
350	Evidently he had kept it wound. 	Должно быть, он не забывал заводить их. 
351	He was calm and collected. 	Он был спокоен и в полном сознании. 
352	Though extremely weak, he had no sensation of pain. 	Несмотря на страшную слабость, он не чувствовал никакой боли. 
353	He was not hungry. 	Есть ему не хотелось. 
354	The thought of food was not even pleasant to him, and whatever he did was done by his reason alone. 	Мысль о  еде  была  даже неприятна ему, и все, что он ни делал, делалось им по велению рассудка. 
355	He ripped off his pants’ legs to the knees and bound them about his feet. 	Он оторвал штанины до колен и обвязал ими ступни. 
356	Somehow he had succeeded in retaining the tin bucket. He would have some hot water before he began what he foresaw was to be a terrible journey to the ship. 	Ведерко  он  почему-то  не бросил: надо будет выпить кипятку, прежде чем  начать  путь  к  кораблю  - очень тяжелый, как он предвидел. 
357	His movements were slow. 	Все его движения были медленны. 
358	He shook as with a palsy. 	Он дрожал, как в параличе. 
359	When he started to collect dry moss, he found he could not rise to his feet. 	Он  хотел набрать сухого мха, но  не  смог  подняться  на  ноги. 
360	He tried again and again, then contented himself with crawling about on hands and knees. 	Несколько  раз  он пробовал встать и в конце концов  пополз  на  четвереньках. 
361	Once he crawled near to the sick wolf. 	Один  раз  он подполз очень близко к  больному  волку. 
362	The animal dragged itself reluctantly out of his way, licking its chops with a tongue which seemed hardly to have the strength to curl. 	Зверь  неохотно  посторонился  и облизнул морду, насилу двигая языком. 
363	The man noticed that the tongue was not the customary healthy red. It was a yellowish brown and seemed coated with a rough and half-dry mucus. 	Человек заметил,  что  язык  был  не здорового,  красного  цвета,  а  желтовато-бурый,  покрытый   полузасохшей слизью. 
364	After he had drunk a quart of hot water the man found he was able to stand, and even to walk as well as a dying man might be supposed to walk. 	Выпив кипятку, он почувствовал, что может подняться на  ноги  и  даже идти, хотя силы его были почти на исходе. 
365	Every minute or so he was compelled to rest. 	Ему приходилось отдыхать чуть не каждую минуту. 
366	His steps were feeble and uncertain, just as the wolf’s that trailed him were feeble and uncertain; and that night, when the shining sea was blotted out by blackness, he knew he was nearer to it by no more than four miles. 	Он шел слабыми, неверными  шагами,  и  такими  же  слабыми, неверными шагами тащился за ним волк. И в эту ночь, когда блистающее море скрылось во тьме, человек  понял, что приблизился к нему не больше чем на четыре мили. 
367	Throughout the night he heard the cough of the sick wolf, and now and then the squawking of the caribou calves. 	Ночью он все время слышал  кашель  больного  волка,  а  иногда  крики оленят. 
368	There was life all around him, but it was strong life, very much alive and well, and he knew the sick wolf clung to the sick man’s trail in the hope that the man would die first. 	Вокруг была жизнь, но жизнь, полная сил и здоровья, а он  понимал, что больной волк тащится по следам больного человека в надежде,  что  этот человек умрет первым. 
369	In the morning, on opening his eyes, he beheld it regarding him with a wistful and hungry stare. 	Утром, открыв глаза, он увидел, что волк смотрит  на него тоскливо и жадно. 
370	It stood crouched, with tail between its legs, like a miserable and woe-begone dog. 	Зверь, похожий на заморенную унылую собаку,  стоял, понурив голову и поджав хвост. 
371	It shivered in the chill morning wind, and grinned dispiritedly when the man spoke to it in a voice that achieved no more than a hoarse whisper. 	Он  дрожал  на  холодном  ветру  и  угрюмо оскалил зубы, когда человек заговорил с ним голосом, упавшим  до  хриплого шепота. 
372	The sun rose brightly, and all morning the man tottered and fell toward the ship on the shining sea. 	Взошло яркое солнце, и все утро путник, спотыкаясь  и  падая,  шел  к кораблю  на  блистающем  море. 
373	The weather was perfect. 	Погода  стояла  прекрасная. 
374	It was the brief Indian Summer of the high latitudes. 	Это  началось короткое бабье лето северных широт. 
375	It might last a week. To-morrow or next day it might he gone. 	Оно могло продержаться  неделю,  могло кончиться завтра или послезавтра. 
376	In the afternoon the man came upon a trail. 	После полудня он напал  на  след. 
377	It was of another man, who did not walk, but who dragged himself on all fours. 	Это  был  след  другого  человека, который не шел, а тащился на четвереньках. 
378	The man thought it might be Bill, but he thought in a dull, uninterested way. 	Он подумал, что это,  возможно, след Билла, но подумал вяло и равнодушно. 
